#KEY	HISAT2 on dataset 67 and 68: aligned reads (BAM)_2	HISAT2 on dataset 65 and 66: aligned reads (BAM)_2	HISAT2 on dataset 63 and 64: aligned reads (BAM)_2	HISAT2 on dataset 61 and 62: aligned reads (BAM)_2
1	85	127	194	180
10	0	0	0	0
100	48	135	72	89
1000	248	358	133	255
10000	662	853	681	748
100008586	0	0	0	0
100008587	0	0	0	0
100008588	0	0	0	0
100008589	0	0	0	0
100009613	2	0	2	0
100009676	27	60	33	44
10001	216	355	265	314
10002	6	2	1	2
10003	19	66	16	36
100033413	0	1	3	2
100033414	1	0	1	0
100033415	0	0	0	0
100033416	5	14	10	15
100033417	0	0	0	0
100033418	0	0	1	0
100033419	0	0	3	0
100033420	0	1	0	0
100033421	0	0	1	1
100033422	0	0	0	0
100033423	0	0	0	0
100033424	0	0	0	1
100033425	0	1	0	0
100033426	0	0	0	3
100033427	1	0	0	0
100033428	1	0	1	0
100033429	0	0	0	0
100033430	0	0	0	0
100033431	1	4	0	4
100033432	2	5	3	6
100033433	0	5	2	3
100033434	0	2	1	0
100033435	1	8	2	1
100033436	0	0	0	0
100033437	0	0	0	0
100033438	0	0	0	0
100033439	0	1	0	1
100033440	0	0	0	0
100033441	0	0	0	0
100033442	0	0	0	0
100033443	0	0	0	0
100033444	0	0	0	0
100033445	0	0	0	0
100033446	0	0	0	0
100033447	0	0	0	0
100033448	0	0	0	0
100033449	0	0	0	0
100033450	0	0	0	0
100033451	0	0	0	0
100033453	0	0	0	0
100033454	0	0	0	0
100033455	0	0	0	0
100033456	0	0	0	0
100033458	0	0	0	0
100033460	0	0	0	0
100033603	0	0	0	0
100033799	0	0	0	0
100033800	0	0	0	0
100033801	0	0	0	0
100033802	0	0	0	0
100033803	0	0	0	0
100033804	0	0	0	0
100033805	0	0	0	0
100033806	0	0	0	0
100033807	0	0	0	0
100033808	0	0	0	0
100033809	0	0	0	0
100033810	0	0	0	0
100033811	0	0	0	0
100033812	0	0	0	0
100033813	0	0	0	0
100033814	0	0	0	0
100033815	0	0	0	0
100033816	0	0	0	0
100033817	0	0	0	0
100033818	0	0	0	0
100033819	0	0	0	0
100033820	0	1	1	1
100033821	0	0	0	0
100033822	0	0	0	0
100036519	0	0	0	0
100036563	0	0	0	0
100036564	0	0	0	0
100036565	0	0	0	0
100036566	0	0	0	0
100036567	0	0	0	0
100037417	9	21	28	23
100038246	0	0	0	0
10004	102	168	128	168
100048912	16	54	16	43
100049076	0	6	10	12
100049587	0	0	0	1
100049615	0	0	0	0
100049716	69	154	84	102
10005	159	353	261	287
10006	884	1167	1083	1161
10007	856	1761	1215	2213
100073347	1	0	0	1
10008	71	299	108	229
10009	310	469	503	539
100093630	422	971	998	1401
100093631	155	268	154	211
